State,2009,2010,2011,2012,2013
Alabama,858404,894232,928116,958764,985504
Alaska,264511,285414,311510,323021,317203
Arizona,1262204,1281732,1329067,1387248,1417447
Arkansas,509153,535879,561132,569753,599610
California,10060201,10343486,10729064,11263961,11747101
Colorado,1294506,1329812,1383927,1437981,1513039
Connecticut,1257904,1262495,1258668,1285878,1290610
Delaware,311646,312315,326119,330202,332958
District of Columbia,457076,480097,499573,510425,521817
Far West,14056577,14508645,15053897,15695933,16283919
Florida,3760528,3828905,3870206,3999255,4171802
Georgia,2104743,2143906,2209495,2295118,2383571
Great Lakes,10559102,11032091,11547909,12039054,12357058
Hawaii,325367,340377,349192,362799,374760
Idaho,280052,288887,298021,304770,319454
Illinois,3403061,3483613,3636953,3819075,3867601
Indiana,1408111,1526203,1577997,1622870,1689322
Iowa,727948,754054,795708,847964,869669
Kansas,644958,670775,719085,740965,752751
Kentucky,811153,863637,898286,926951,950518
Louisiana,1120357,1244827,1265397,1295949,1255358
Maine,262728,268558,269524,275826,280021
Maryland,1516673,1581175,1635215,1675571,1712547
Massachusetts,2051339,2146933,2221422,2322589,2363294
Michigan,1912066,2036851,2123816,2220979,2293414
Mideast,13956230,14507674,14869181,15571271,15962534
Minnesota,1370590,1436548,1509342,1566991,1625681
Mississippi,477744,490251,496824,521319,533056
Missouri,1314101,1345669,1353682,1402861,1456431
Montana,185691,198816,214979,221055,226204
Nebraska,458159,485397,531122,541998,569515
Nevada,633163,643464,661165,669140,685255
New England,4279667,4410242,4496190,4650982,4718959
New Hampshire,326871,336409,343837,353766,362855
New Jersey,2549847,2590689,2618113,2735565,2815887
New Mexico,412416,430920,449747,453607,457729
New York,6082568,6385205,6525026,6929953,7072125
North Carolina,2139541,2182307,2250761,2307833,2401613
North Dakota,169482,189392,222724,281176,294655
Ohio,2537987,2642601,2811502,2924656,3004032
Oklahoma,741299,774231,854267,912755,978998
Oregon,967505,1028304,1077643,1055517,1050573
Pennsylvania,3038422,3158189,3265133,3389552,3507194
Plains,4879515,5083454,5357149,5611682,5807294
Rhode Island,248018,256773,258325,265688,272629
Rocky Mountain,2546223,2639904,2768365,2845487,2972576
South Carolina,822438,845967,880019,902021,939271
South Dakota,194276,201628,225477,229727,238590
Southeast,16313696,16865866,17319231,17877450,18424818
Southwest,8583420,9090995,9824466,10443694,11101080
Tennessee,1300465,1336637,1393784,1474169,1528994
Texas,6167500,6604110,7191387,7690084,8246896
Utah,588505,613684,648566,668208,696893
Vermont,132802,139074,144408,147240,149549
Virginia,2078914,2150310,2194855,2258207,2300505
Washington,1805831,1867605,1925318,2021486,2109033
West Virginia,330259,349004,370377,368118,375042
Wisconsin,1297886,1342817,1397644,1451477,1502690
Wyoming,197468,208703,222871,213460,216985
Total,156277738,156277738,162472779,169471096,175256489